"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Sheringham Medical Practice - H...</title>","html > head > title"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Abs","This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 7:1.","warning","<div id=\"loadingbar\">Loading...</div>","#loadingbar"
"WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85","If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.","notice","<form action=\"\" method=\"post\">\n\t\t\t\t\t<p>This site uses cookies...</form>","#cookieLawBox > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90","Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.","notice","<form action=\"\" method=\"post\">\n\t\t\t\t\t<p>This site uses cookies...</form>","#cookieLawBox > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177","Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.","notice","<form action=\"\" method=\"post\">\n\t\t\t\t\t<p>This site uses cookies...</form>","#cookieLawBox > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193","Check that context-sensitive help is available for this form, at a Web-page and/or control level.","notice","<form action=\"\" method=\"post\">\n\t\t\t\t\t<p>This site uses cookies...</form>","#cookieLawBox > form"
"WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms","Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.","notice","<form action=\"\" method=\"post\">\n\t\t\t\t\t<p>This site uses cookies...</form>","#cookieLawBox > form"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<p>This site uses cookies to store...</p>","#cookieLawBox > form > p"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"hidden\" name=\"cookieAllowed\" value=\"yes\">","#cookieLawBox > form > p > input:nth-child(1)"
"WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107","Check that a change of context does not occur when this input field receives focus.","notice","<input type=\"submit\" value=\"Allow Cookies\">","#cookieLawBox > form > p > input:nth-child(2)"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.BgImage","This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 7:1.","warning","<a href=\"index.php?disclaimer=1#cookies\">Read More</a>","#cookieLawBox > form > p > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"index.php?disclaimer=1#cookies\">Read More</a>","#cookieLawBox > form > p > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a onclick=\"$('#sub_64426').toggle('fast');\" style=\"cursor: pointer; cursor: hand;\" href=\"javascript:return false;\">CQC</a>","#menu > ul > li:nth-child(24) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a onclick=\"$('#sub_64426').toggle('fast');\" style=\"cursor: pointer; cursor: hand;\" href=\"javascript:return false;\">CQC</a>","#menu > ul > li:nth-child(24) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Who are CQC?\" href=\"who-is-cqc,64427.htm\" class=\"\">Who are CQC?</a>","#sub_64426 > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"CQC Outcome\" href=\"cqc-outcome,65006.htm\" class=\"\">CQC Outcome</a>","#sub_64426 > li:nth-child(2) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\" National Program for IT\" href=\"-national-program-for-it,48735.htm\" class=\"\"> National Program for IT</a>","#menu > ul > li:nth-child(25) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\" National Program for IT\" href=\"-national-program-for-it,48735.htm\" class=\"\"> National Program for IT</a>","#menu > ul > li:nth-child(25) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"New Patient Registration Forms\" href=\"new-patient-registration-forms,64964.htm\" class=\"\">New Patient Registration Forms</a>","#menu > ul > li:nth-child(26) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"New Patient Registration Forms\" href=\"new-patient-registration-forms,64964.htm\" class=\"\">New Patient Registration Forms</a>","#menu > ul > li:nth-child(26) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Newsletters\" href=\"newsletters,62435.htm\" class=\"\">Newsletters</a>","#menu > ul > li:nth-child(27) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Newsletters\" href=\"newsletters,62435.htm\" class=\"\">Newsletters</a>","#menu > ul > li:nth-child(27) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Practice Staff\" href=\"practice-staff,24446.htm\" class=\"\">Practice Staff</a>","#menu > ul > li:nth-child(28) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Practice Staff\" href=\"practice-staff,24446.htm\" class=\"\">Practice Staff</a>","#menu > ul > li:nth-child(28) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Red Cross Outlet\" href=\"red-cross-outlet,48682.htm\" class=\"\">Red Cross Outlet</a>","#menu > ul > li:nth-child(29) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Red Cross Outlet\" href=\"red-cross-outlet,48682.htm\" class=\"\">Red Cross Outlet</a>","#menu > ul > li:nth-child(29) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Referrals\" href=\"referrals,66256.htm\" class=\"\">Referrals</a>","#menu > ul > li:nth-child(30) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Referrals\" href=\"referrals,66256.htm\" class=\"\">Referrals</a>","#menu > ul > li:nth-child(30) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a onclick=\"$('#sub_64394').toggle('fast');\" style=\"cursor: pointer; cursor: hand;\" href=\"javascript:return false;\">Dispensary Information</a>","#menu > ul > li:nth-child(31) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a onclick=\"$('#sub_64394').toggle('fast');\" style=\"cursor: pointer; cursor: hand;\" href=\"javascript:return false;\">Dispensary Information</a>","#menu > ul > li:nth-child(31) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Information\" href=\"information,64395.htm\" class=\"\">Information</a>","#sub_64394 > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Electronic Prescription Service\" href=\"electronic-prescription-service,65756.htm\" class=\"\">Electronic Prescription Service</a>","#sub_64394 > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Medication Information\" href=\"medication-information,64396.htm\" class=\"\">Medication Information</a>","#sub_64394 > li:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Pharmacist Information\" href=\"pharmacist-information,67061.htm\" class=\"\">Pharmacist Information</a>","#sub_64394 > li:nth-child(4) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Pharmacy 2 U Posters\" href=\"pharmacy-2-u,67058.htm\" class=\"\">Pharmacy 2 U Posters</a>","#sub_64394 > li:nth-child(5) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Results\" href=\"results,24449.htm\" class=\"\">Results</a>","#menu > ul > li:nth-child(32) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Results\" href=\"results,24449.htm\" class=\"\">Results</a>","#menu > ul > li:nth-child(32) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Self Care\" href=\"self-care,64943.htm\" class=\"\">Self Care</a>","#menu > ul > li:nth-child(33) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Self Care\" href=\"self-care,64943.htm\" class=\"\">Self Care</a>","#menu > ul > li:nth-child(33) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Services\" href=\"services,24445.htm\" class=\"\">Services</a>","#menu > ul > li:nth-child(34) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Services\" href=\"services,24445.htm\" class=\"\">Services</a>","#menu > ul > li:nth-child(34) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Great Yarmouth and Waveney MIND...\" href=\"great-yarmouth-and-waveney-mind-service,67199.htm\" class=\"\">Great Yarmouth and Waveney MIND Service</a>","#menu > ul > li:nth-child(35) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Great Yarmouth and Waveney MIND...\" href=\"great-yarmouth-and-waveney-mind-service,67199.htm\" class=\"\">Great Yarmouth and Waveney MIND Service</a>","#menu > ul > li:nth-child(35) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a onclick=\"$('#sub_65496').toggle('fast');\" style=\"cursor: pointer; cursor: hand;\" href=\"javascript:return false;\">Flu Campaign 2018</a>","#menu > ul > li:nth-child(36) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a onclick=\"$('#sub_65496').toggle('fast');\" style=\"cursor: pointer; cursor: hand;\" href=\"javascript:return false;\">Flu Campaign 2018</a>","#menu > ul > li:nth-child(36) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Flu Newsletter 2018\" href=\"flu-newsletter-2017,66175.htm\" class=\"\">Flu Newsletter 2018</a>","#sub_65496 > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Frequently asked questions rega...\" href=\"adult-flus,65497.htm\" class=\"\">Frequently asked questions regarding Adult Flu's</a>","#sub_65496 > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Frequently asked questions rega...\" href=\"childrens-flus,65495.htm\" class=\"\">Frequently asked questions regarding Children's flu's</a>","#sub_65496 > li:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Frequently asked questions rega...\" href=\"young-adult-flus,65498.htm\" class=\"\">Frequently asked questions regarding Young Adult flu's</a>","#sub_65496 > li:nth-child(4) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Leaflet regarding flu vacinatio...\" href=\"leaflet-regarding-flu-vacination-for-people-with-learning-difficulties,65505.htm\" class=\"\">Leaflet regarding flu vacination for people with learning difficulties</a>","#sub_65496 > li:nth-child(5) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Why Different Flu Vaccines Post...\" href=\"why-different-flu-vaccines-poster,67023.htm\" class=\"\">Why Different Flu Vaccines Poster</a>","#sub_65496 > li:nth-child(6) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Information for Pregnant Patien...\" href=\"information-for-pregnant-patients,67060.htm\" class=\"\">Information for Pregnant Patients</a>","#sub_65496 > li:nth-child(7) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Sheringham Medical Practice Ave...\" href=\"sheringham-medical-practice-average-earnings-2016-17,65907.htm\" class=\"\">Sheringham Medical Practice Average Earnings Per GP</a>","#menu > ul > li:nth-child(37) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Sheringham Medical Practice Ave...\" href=\"sheringham-medical-practice-average-earnings-2016-17,65907.htm\" class=\"\">Sheringham Medical Practice Average Earnings Per GP</a>","#menu > ul > li:nth-child(37) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Stay Well This Winter\" href=\"stay-well-this-winter,64323.htm\" class=\"\">Stay Well This Winter</a>","#menu > ul > li:nth-child(38) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Stay Well This Winter\" href=\"stay-well-this-winter,64323.htm\" class=\"\">Stay Well This Winter</a>","#menu > ul > li:nth-child(38) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Training Practice / Registrars\" href=\"test1,57771.htm\" class=\"\">Training Practice / Registrars</a>","#menu > ul > li:nth-child(39) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Training Practice / Registrars\" href=\"test1,57771.htm\" class=\"\">Training Practice / Registrars</a>","#menu > ul > li:nth-child(39) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Useful Links &amp; Contacts\" href=\"links,24437.htm\" class=\"\">Useful Links &amp; Contacts</a>","#menu > ul > li:nth-child(40) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Useful Links &amp; Contacts\" href=\"links,24437.htm\" class=\"\">Useful Links &amp; Contacts</a>","#menu > ul > li:nth-child(40) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Volunteer Information\" href=\"volunteer-information,57096.htm\" class=\"\">Volunteer Information</a>","#menu > ul > li:nth-child(41) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Volunteer Information\" href=\"volunteer-information,57096.htm\" class=\"\">Volunteer Information</a>","#menu > ul > li:nth-child(41) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a onclick=\"$('#sub_66036').toggle('fast');\" style=\"cursor: pointer; cursor: hand;\" href=\"javascript:return false;\">Health Promotions</a>","#menu > ul > li:nth-child(42) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a onclick=\"$('#sub_66036').toggle('fast');\" style=\"cursor: pointer; cursor: hand;\" href=\"javascript:return false;\">Health Promotions</a>","#menu > ul > li:nth-child(42) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Contraception\" href=\"contraception,66037.htm\" class=\"\">Contraception</a>","#sub_66036 > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"HPV\" href=\"hpv,66039.htm\" class=\"\">HPV</a>","#sub_66036 > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"iCaSH\" href=\"icash,66041.htm\" class=\"\">iCaSH</a>","#sub_66036 > li:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"NHS Health Checks\" href=\"nhs-health-checks,56150.htm\" class=\"\">NHS Health Checks</a>","#sub_66036 > li:nth-child(4) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Sexual Health\" href=\"sexual-health,66038.htm\" class=\"\">Sexual Health</a>","#sub_66036 > li:nth-child(5) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Care and Support for Adults 201...\" href=\"care-and-support-for-adults-2018-19,67047.htm\" class=\"\">Care and Support for Adults 2018/19</a>","#menu > ul > li:nth-child(43) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Care and Support for Adults 201...\" href=\"care-and-support-for-adults-2018-19,67047.htm\" class=\"\">Care and Support for Adults 2018/19</a>","#menu > ul > li:nth-child(43) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Zero Tolerance\" href=\"zero-tolerance,63718.htm\" class=\"\">Zero Tolerance</a>","#menu > ul > li:nth-child(44) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Zero Tolerance\" href=\"zero-tolerance,63718.htm\" class=\"\">Zero Tolerance</a>","#menu > ul > li:nth-child(44) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a title=\"Events\" href=\"events,67107.htm\" class=\"\">Events</a>","#menu > ul > li:nth-child(45) > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Events\" href=\"events,67107.htm\" class=\"\">Events</a>","#menu > ul > li:nth-child(45) > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a onclick=\"$('#sub_66134').toggle('fast');\" style=\"cursor: pointer; cursor: hand;\" href=\"javascript:return false;\">Patient Complaints</a>","#menu > ul > li:nth-child(46) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a onclick=\"$('#sub_66134').toggle('fast');\" style=\"cursor: pointer; cursor: hand;\" href=\"javascript:return false;\">Patient Complaints</a>","#menu > ul > li:nth-child(46) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Complaints Procedure\" href=\"complaints-procedure,66135.htm\" class=\"\">Complaints Procedure</a>","#sub_66134 > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Link for further information\" href=\"link-for-further-information,66137.htm\" class=\"\">Link for further information</a>","#sub_66134 > li:nth-child(2) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a onclick=\"$('#sub_39614').toggle('fast');\" style=\"cursor: pointer; cursor: hand;\" href=\"javascript:return false;\">Patient Participation Group Are...</a>","#menu > ul > li:nth-child(47) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a onclick=\"$('#sub_39614').toggle('fast');\" style=\"cursor: pointer; cursor: hand;\" href=\"javascript:return false;\">Patient Participation Group Are...</a>","#menu > ul > li:nth-child(47) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"About Our Patient Participation...\" href=\"ppg,26215.htm\" class=\"\">About Our Patient Participation Group</a>","#sub_39614 > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"PPG Minutes\" href=\"ppg-minutes,51447.htm\" class=\"\">PPG Minutes</a>","#sub_39614 > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"PPG DES Report\" href=\"ppg-des-report,51448.htm\" class=\"\">PPG DES Report</a>","#sub_39614 > li:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"PPG Minutes Archive\" href=\"ppg-minutes-archive,55611.htm\" class=\"\">PPG Minutes Archive</a>","#sub_39614 > li:nth-child(4) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a onclick=\"$('#sub_63698').toggle('fast');\" style=\"cursor: pointer; cursor: hand;\" href=\"javascript:return false;\">Posters</a>","#menu > ul > li:nth-child(48) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a onclick=\"$('#sub_63698').toggle('fast');\" style=\"cursor: pointer; cursor: hand;\" href=\"javascript:return false;\">Posters</a>","#menu > ul > li:nth-child(48) > div > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Practice Information\" href=\"practice-information,63699.htm\" class=\"\">Practice Information</a>","#sub_63698 > li:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"CQC documents\" href=\"cqc-documents,63700.htm\" class=\"\">CQC documents</a>","#sub_63698 > li:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Personnel Data Information\" href=\"personnel-data-information,63701.htm\" class=\"\">Personnel Data Information</a>","#sub_63698 > li:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Media Documents\" href=\"media-documents,63702.htm\" class=\"\">Media Documents</a>","#sub_63698 > li:nth-child(4) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a title=\"Health Information\" href=\"health-information,63703.htm\" class=\"\">Health Information</a>","#sub_63698 > li:nth-child(5) > a"
"WCAG2AAA.Principle1.Guideline1_4.1_4_6.G17.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 7:1, but text in this element has a contrast ratio of 4.61:1. Recommendation: change text colour to #3c3c3c.","error","<a onclick=\"$('#sub_66905').toggle('fast');\" style=\"cursor: pointer; cursor: hand;\" href=\"javascript:return false;\">Privacy policy</a>","#menu > ul > li:nth-child(49) > div > a"
